Opening serial port 'COM25'
Connection opened.
-I- === Initialize eMMC access ===
Detected memory size is 3925868544 bytes.
Page size is 512 bytes.
Buffer is 88576 bytes (173 pages) at address 0x0022a440.
-I- === Load images on eMMC ===
Wrote 88576 bytes at address 0x0269aa00 (3.78%)
Wrote 88576 bytes at address 0x026b0400 (3.79%)
Wrote 88576 bytes at address 0x026c5e00 (3.79%)
Wrote 88576 bytes at address 0x026db800 (3.80%)
Wrote 88576 bytes at address 0x026f1200 (3.81%)
Wrote 88576 bytes at address 0x02706c00 (3.82%)
Wrote 88576 bytes at address 0x0271c600 (3.83%)
Wrote 88576 bytes at address 0x02732000 (3.84%)
Wrote 88576 bytes at address 0x02747a00 (3.84%)
Wrote 88576 bytes at address 0x0275d400 (3.85%)
Wrote 88576 bytes at address 0x02772e00 (3.86%)
Wrote 88576 bytes at address 0x02788800 (3.87%)
